pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2021-04-01,94.8,-1.38,6.2,"Foster, Matt",578428,641582,,ball,,,,,14,"Jose Iglesias grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",R,R,R,LAA,CWS,B,,,1,1,2021,-0.38,1.71,1.75,2.01,545361,457708,,2,8,Bot,,,,,518735,,,8.987427702170192,-137.4690408254232,-9.023098038623427,-6.884437711448586,31.47166091313417,-8.630606589860694,3.32,1.56,,,,94.3,2444,6.2,634655,641582,518735,547989,663611,660162,641313,544725,673357,594809,54.26,,,,,,,,66,3,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,200,0.0,
CH,2021-04-01,84.3,-1.28,6.17,"Foster, Matt",578428,641582,,swinging_strike,,,,,14,"Jose Iglesias grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",R,R,R,LAA,CWS,S,,,1,0,2021,-0.8,1.3,0.38,1.19,545361,457708,,2,8,Bot,,,,,518735,,,5.3958193930047065,-122.43782370072869,-7.716369711191662,-9.08199581013792,24.96087794438323,-17.71092815045576,3.32,1.51,,,,83.8,1894,6.1,634655,641582,518735,547989,663611,660162,641313,544725,673357,594809,54.38,,,,,,,,66,2,Changeup,4,3,4,3,3,4,4,3,Standard,Standard,212,0.0,
CH,2021-04-01,83.7,-1.33,6.22,"Foster, Matt",578428,641582,,ball,,,,,8,"Jose Iglesias grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",R,R,R,LAA,CWS,B,,,0,0,2021,-1.0,0.9,0.1,1.49,545361,457708,,2,8,Bot,,,,,518735,,,5.2673691493554315,-121.72591254767784,-6.265271795712597,-10.968602885338411,23.980269228374887,-22.162304235400075,3.2,1.53,,,,83.4,1724,6.1,634655,641582,518735,547989,663611,660162,641313,544725,673357,594809,54.35,,,,,,,,66,1,Changeup,4,3,4,3,3,4,4,3,Standard,Standard,215,0.0,
SI,2021-04-01,96.0,2.37,5.7,"Bummer, Aaron",405395,607481,field_out,hit_into_play,,,,,9,"Albert Pujols grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.   Shohei Ohtani scores.    Mike Trout to 3rd.    Justin Upton to 2nd.",R,R,L,LAA,CWS,X,5,ground_ball,1,0,2021,1.2,0.12,0.6,1.79,660271,545361,457708,1,8,Bot,104.92,182.02,,,518735,,,-7.3753739496682575,-139.6567451945153,-5.048867672814227,17.316509357830398,29.96225101396598,-29.668341242782088,3.49,1.6,1,77.9,-58,96.1,1958,6.2,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.27,0.217,0.203,0.0,1,0,0,2,65,2,Sinker,3,3,3,3,3,4,4,3,Standard,Standard,123,0.10099999999999999,
SI,2021-04-01,94.6,2.26,5.78,"Bummer, Aaron",405395,607481,,ball,,,,,3,"Albert Pujols grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.   Shohei Ohtani scores.    Mike Trout to 3rd.    Justin Upton to 2nd.",R,R,L,LAA,CWS,B,,,0,0,2021,1.1,0.32,0.73,3.44,660271,545361,457708,1,8,Bot,,,,,518735,,,-6.420604922738402,-137.7635781357543,-1.1707354571604434,15.453388217603596,28.905035846938173,-28.05941730356905,3.49,1.65,,,,94.3,2114,5.9,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.57,,,,,,,,65,1,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,127,0.0,
SI,2021-04-01,94.4,2.16,5.8,"Bummer, Aaron",457708,607481,walk,ball,,,,,11,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,B,,,3,2,2021,1.35,0.11,-0.61,3.73,,660271,545361,1,8,Bot,,,,,518735,,,-10.146433514782986,-137.07061014184498,0.07908864688815709,19.292477383393926,29.834966671669637,-31.02517879198749,3.43,1.63,,,,94.0,2017,6.2,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.34,,,0.7,1,0,0,,64,11,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,122,0.106,
SI,2021-04-01,95.1,2.08,5.67,"Bummer, Aaron",457708,607481,,ball,,,,,11,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,B,,,2,2,2021,1.12,0.08,-1.5,3.01,,660271,545361,1,8,Bot,,,,,518735,,,-11.84039992137692,-138.01526820576095,-1.5050752243892986,16.8863519898523,28.45191235072984,-30.958871016738033,3.45,1.61,,,,95.0,2046,6.2,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.29,,,,,,,,64,10,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,131,0.0,
SL,2021-04-01,82.8,2.06,5.91,"Bummer, Aaron",457708,607481,,foul,,,,,8,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,S,,,2,2,2021,-1.74,-0.54,0.25,1.58,,660271,545361,1,8,Bot,,,,,518735,,,-0.7249290303884172,-120.49865340249248,-2.232673658670801,-16.576981514188624,27.0583529857511,-37.08105419569848,3.41,1.56,,,,82.1,2560,6.1,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.36,,,,,,,,64,9,Slider,3,3,3,3,3,3,3,3,Standard,Standard,313,0.0,
SI,2021-04-01,94.6,2.21,5.65,"Bummer, Aaron",457708,607481,,foul,,,,,3,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,S,,,2,2,2021,1.35,0.21,0.42,2.96,,660271,545361,1,8,Bot,,,,,518735,,,-7.6401719904283345,-137.59674678404951,-1.8371050664715136,18.798430473068045,29.12461361459161,-29.260932633942343,3.41,1.56,202,84.4,66,94.6,2194,6.2,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.31,,,,,,,,64,8,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,121,0.0,
SI,2021-04-01,95.1,2.1,5.7,"Bummer, Aaron",457708,607481,,foul,,,,,13,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,S,,,2,2,2021,1.08,0.2,-1.1,2.31,,660271,545361,1,8,Bot,,,,,518735,,,-10.753332397743053,-138.18935250619631,-3.7210715498066715,16.11482398885698,27.38383103550858,-28.98392929926672,3.41,1.56,,,,95.0,2275,6.1,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.42,,,,,,,,64,7,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,139,0.0,
